country,country_name,date,variable,value
EU,European Union,2024-12-09,Euro 95,1.64
EU,European Union,2024-12-02,Euro 95,1.65
EU,European Union,2024-11-25,Euro 95,1.65
EU,European Union,2024-11-18,Euro 95,1.64
EU,European Union,2024-11-11,Euro 95,1.64
EU,European Union,2024-11-04,Euro 95,1.63
EU,European Union,2024-10-28,Euro 95,1.64
EU,European Union,2024-10-21,Euro 95,1.64
EU,European Union,2024-10-14,Euro 95,1.65
EU,European Union,2024-10-07,Euro 95,1.62
EU,European Union,2024-09-30,Euro 95,1.62
EU,European Union,2024-09-23,Euro 95,1.63
EU,European Union,2024-09-16,Euro 95,1.63
EU,European Union,2024-09-09,Euro 95,1.64
EU,European Union,2024-09-02,Euro 95,1.67
EU,European Union,2024-08-26,Euro 95,1.68
EU,European Union,2024-08-19,Euro 95,1.7
EU,European Union,2024-08-12,Euro 95,1.71
EU,European Union,2024-08-05,Euro 95,1.72
EU,European Union,2024-07-29,Euro 95,1.73
EU,European Union,2024-07-22,Euro 95,1.74
EU,European Union,2024-07-15,Euro 95,1.75
EU,European Union,2024-07-08,Euro 95,1.75
EU,European Union,2024-07-01,Euro 95,1.74
EU,European Union,2024-06-24,Euro 95,1.74
EU,European Union,2024-06-17,Euro 95,1.73
EU,European Union,2024-06-10,Euro 95,1.73
EU,European Union,2024-06-03,Euro 95,1.75
EU,European Union,2024-05-27,Euro 95,1.76
EU,European Union,2024-05-20,Euro 95,1.77
EU,European Union,2024-05-13,Euro 95,1.78
EU,European Union,2024-05-06,Euro 95,1.8
EU,European Union,2024-04-29,Euro 95,1.81
EU,European Union,2024-04-22,Euro 95,1.81
EU,European Union,2024-04-15,Euro 95,1.81
EU,European Union,2024-04-08,Euro 95,1.8
EU,European Union,2024-04-01,Euro 95,1.78
EU,European Union,2024-03-25,Euro 95,1.76
EU,European Union,2024-03-18,Euro 95,1.74
EU,European Union,2024-03-11,Euro 95,1.74
EU,European Union,2024-03-04,Euro 95,1.74
EU,European Union,2024-02-26,Euro 95,1.73
EU,European Union,2024-02-19,Euro 95,1.74
EU,European Union,2024-02-12,Euro 95,1.72
EU,European Union,2024-02-05,Euro 95,1.7
EU,European Union,2024-01-29,Euro 95,1.69
EU,European Union,2024-01-22,Euro 95,1.67
EU,European Union,2024-01-15,Euro 95,1.67
EU,European Union,2024-01-08,Euro 95,1.67
EU,European Union,2024-01-01,Euro 95,1.67
EU,European Union,2023-12-25,Euro 95,1.67
EU,European Union,2023-12-18,Euro 95,1.66
EU,European Union,2023-12-11,Euro 95,1.68
EU,European Union,2023-12-04,Euro 95,1.7
EU,European Union,2023-11-27,Euro 95,1.72
EU,European Union,2023-11-20,Euro 95,1.72
EU,European Union,2023-11-13,Euro 95,1.74
EU,European Union,2023-11-06,Euro 95,1.76
EU,European Union,2023-10-30,Euro 95,1.75
EU,European Union,2023-10-23,Euro 95,1.76
EU,European Union,2023-10-16,Euro 95,1.76
EU,European Union,2023-10-09,Euro 95,1.79
EU,European Union,2023-10-02,Euro 95,1.82
EU,European Union,2023-09-25,Euro 95,1.84
EU,European Union,2023-09-18,Euro 95,1.84
EU,European Union,2023-09-11,Euro 95,1.83
EU,European Union,2023-09-04,Euro 95,1.83
EU,European Union,2023-08-28,Euro 95,1.83
EU,European Union,2023-08-21,Euro 95,1.81
EU,European Union,2023-08-14,Euro 95,1.81
EU,European Union,2023-08-07,Euro 95,1.8
EU,European Union,2023-07-31,Euro 95,1.78
EU,European Union,2023-07-24,Euro 95,1.74
EU,European Union,2023-07-17,Euro 95,1.73
EU,European Union,2023-07-10,Euro 95,1.72
EU,European Union,2023-07-03,Euro 95,1.73
EU,European Union,2023-06-26,Euro 95,1.72
EU,European Union,2023-06-19,Euro 95,1.72
EU,European Union,2023-06-12,Euro 95,1.72
EU,European Union,2023-06-05,Euro 95,1.71
EU,European Union,2023-05-29,Euro 95,1.71
EU,European Union,2023-05-22,Euro 95,1.7
EU,European Union,2023-05-15,Euro 95,1.7
EU,European Union,2023-05-08,Euro 95,1.7
EU,European Union,2023-05-01,Euro 95,1.73
EU,European Union,2023-04-24,Euro 95,1.74
EU,European Union,2023-04-17,Euro 95,1.77
EU,European Union,2023-04-10,Euro 95,1.76
EU,European Union,2023-04-03,Euro 95,1.73
EU,European Union,2023-03-27,Euro 95,1.71
EU,European Union,2023-03-20,Euro 95,1.71
EU,European Union,2023-03-13,Euro 95,1.73
EU,European Union,2023-03-06,Euro 95,1.73
EU,European Union,2023-02-27,Euro 95,1.72
EU,European Union,2023-02-20,Euro 95,1.72
EU,European Union,2023-02-13,Euro 95,1.72
EU,European Union,2023-02-06,Euro 95,1.72
EU,European Union,2023-01-30,Euro 95,1.74
EU,European Union,2023-01-23,Euro 95,1.71
EU,European Union,2023-01-16,Euro 95,1.69
EU,European Union,2023-01-09,Euro 95,1.69
EU,European Union,2023-01-02,Euro 95,1.67
EU,European Union,2022-12-26,Euro 95,1.63
EU,European Union,2022-12-19,Euro 95,1.63
EU,European Union,2022-12-12,Euro 95,1.65
EU,European Union,2022-12-05,Euro 95,1.69
EU,European Union,2022-11-28,Euro 95,1.7
EU,European Union,2022-11-21,Euro 95,1.73
EU,European Union,2022-11-14,Euro 95,1.78
EU,European Union,2022-11-07,Euro 95,1.79
EU,European Union,2022-10-31,Euro 95,1.78
EU,European Union,2022-10-24,Euro 95,1.79
EU,European Union,2022-10-17,Euro 95,1.81
EU,European Union,2022-10-10,Euro 95,1.77
EU,European Union,2022-10-03,Euro 95,1.72
EU,European Union,2022-09-26,Euro 95,1.72
EU,European Union,2022-09-19,Euro 95,1.74
EU,European Union,2022-09-12,Euro 95,1.77
EU,European Union,2022-09-05,Euro 95,1.8
EU,European Union,2022-08-29,Euro 95,1.77
EU,European Union,2022-08-22,Euro 95,1.75
EU,European Union,2022-08-15,Euro 95,1.77
EU,European Union,2022-08-08,Euro 95,1.8
EU,European Union,2022-08-01,Euro 95,1.85
EU,European Union,2022-07-25,Euro 95,1.88
EU,European Union,2022-07-18,Euro 95,1.93
EU,European Union,2022-07-11,Euro 95,1.96
EU,European Union,2022-07-04,Euro 95,1.99
EU,European Union,2022-06-27,Euro 95,2.01
EU,European Union,2022-06-20,Euro 95,2.03
EU,European Union,2022-06-13,Euro 95,2.03
EU,European Union,2022-06-06,Euro 95,2.01
EU,European Union,2022-05-30,Euro 95,1.99
EU,European Union,2022-05-23,Euro 95,1.96
EU,European Union,2022-05-16,Euro 95,1.92
EU,European Union,2022-05-09,Euro 95,1.88
EU,European Union,2022-05-02,Euro 95,1.85
EU,European Union,2022-04-25,Euro 95,1.83
EU,European Union,2022-04-11,Euro 95,1.82
EU,European Union,2022-04-04,Euro 95,1.85
EU,European Union,2022-03-28,Euro 95,1.9
EU,European Union,2022-03-21,Euro 95,1.93
EU,European Union,2022-03-14,Euro 95,2
EU,European Union,2022-03-07,Euro 95,1.84
EU,European Union,2022-02-28,Euro 95,1.74
EU,European Union,2022-02-21,Euro 95,1.7
EU,European Union,2022-02-14,Euro 95,1.69
EU,European Union,2022-02-07,Euro 95,1.67
EU,European Union,2022-01-31,Euro 95,1.67
EU,European Union,2022-01-24,Euro 95,1.65
EU,European Union,2022-01-17,Euro 95,1.63
EU,European Union,2022-01-10,Euro 95,1.62
EU,European Union,2022-01-03,Euro 95,1.61
EU,European Union,2021-12-20,Euro 95,1.59
EU,European Union,2021-12-13,Euro 95,1.6
EU,European Union,2021-12-06,Euro 95,1.6
EU,European Union,2021-11-29,Euro 95,1.63
EU,European Union,2021-11-22,Euro 95,1.65
EU,European Union,2021-11-15,Euro 95,1.65
EU,European Union,2021-11-08,Euro 95,1.65
EU,European Union,2021-11-01,Euro 95,1.64
EU,European Union,2021-10-25,Euro 95,1.63
EU,European Union,2021-10-18,Euro 95,1.63
EU,European Union,2021-10-11,Euro 95,1.6
EU,European Union,2021-10-04,Euro 95,1.58
EU,European Union,2021-09-27,Euro 95,1.55
EU,European Union,2021-09-20,Euro 95,1.55
EU,European Union,2021-09-13,Euro 95,1.55
EU,European Union,2021-09-06,Euro 95,1.54
EU,European Union,2021-08-30,Euro 95,1.54
EU,European Union,2021-08-23,Euro 95,1.53
EU,European Union,2021-08-16,Euro 95,1.54
EU,European Union,2021-08-09,Euro 95,1.54
EU,European Union,2021-08-02,Euro 95,1.54
EU,European Union,2021-07-26,Euro 95,1.53
EU,European Union,2021-07-19,Euro 95,1.53
EU,European Union,2021-07-12,Euro 95,1.53
EU,European Union,2021-07-05,Euro 95,1.52
EU,European Union,2021-06-28,Euro 95,1.51
EU,European Union,2021-06-21,Euro 95,1.49
EU,European Union,2021-06-14,Euro 95,1.48
EU,European Union,2021-06-07,Euro 95,1.47
EU,European Union,2021-05-31,Euro 95,1.47
EU,European Union,2021-05-24,Euro 95,1.47
EU,European Union,2021-05-17,Euro 95,1.47
EU,European Union,2021-05-10,Euro 95,1.47
