"","country_code","date","pb95","diesel","heating_gasoil","heavy_fuel_oil","lpg","country_name","country_name_pl"
"1","AT",2024-06-03,1.615,1.589,1.157,831.5,NA,"Austria","Austria"
"2","AT",2024-05-27,1.63,1.599,1.16,831.5,NA,"Austria","Austria"
"3","AT",2024-05-20,1.628,1.597,1.165,831.5,NA,"Austria","Austria"
"4","AT",2024-05-13,1.65,1.61,1.177,831.5,NA,"Austria","Austria"
"5","AT",2024-05-06,1.66,1.622,1.188,831.5,NA,"Austria","Austria"
"6","AT",2024-04-29,1.673,1.641,1.204,831.5,NA,"Austria","Austria"
"7","AT",2024-04-22,1.678,1.685,1.214,831.5,NA,"Austria","Austria"
"8","AT",2024-04-15,1.678,1.69,1.226,831.5,NA,"Austria","Austria"
"9","AT",2024-04-08,1.665,1.696,1.214,831.5,NA,"Austria","Austria"
"10","AT",2024-04-01,1.637,1.679,1.213,831.5,NA,"Austria","Austria"
"11","AT",2024-03-25,1.61,1.681,1.217,831.5,NA,"Austria","Austria"
"12","AT",2024-03-18,1.596,1.672,1.212,825.5,NA,"Austria","Austria"
"13","AT",2024-03-11,1.596,1.679,1.219,827.5,NA,"Austria","Austria"
"14","AT",2024-03-04,1.597,1.69,1.233,827.5,NA,"Austria","Austria"
"15","AT",2024-02-26,1.594,1.71,1.251,827.5,NA,"Austria","Austria"
"16","AT",2024-02-19,1.6,1.725,1.264,827.5,NA,"Austria","Austria"
"17","AT",2024-02-12,1.579,1.704,1.259,827.5,NA,"Austria","Austria"
"18","AT",2024-02-05,1.573,1.686,1.233,827.5,NA,"Austria","Austria"
"19","AT",2024-01-29,1.561,1.667,1.214,794.5,NA,"Austria","Austria"
"20","AT",2024-01-22,1.538,1.645,1.198,788.5,NA,"Austria","Austria"
"21","AT",2024-01-15,1.532,1.634,1.2,788.5,NA,"Austria","Austria"
"22","AT",2024-01-08,1.534,1.636,1.202,788.5,NA,"Austria","Austria"
"23","AT",2024-01-01,1.478,1.594,1.201,738,NA,"Austria","Austria"
"24","AT",2023-12-25,1.478,1.594,1.201,738,NA,"Austria","Austria"
"25","AT",2023-12-18,1.483,1.589,1.186,738,NA,"Austria","Austria"
"26","AT",2023-12-11,1.506,1.617,1.201,782,NA,"Austria","Austria"
"27","AT",2023-12-04,1.544,1.653,1.209,782,NA,"Austria","Austria"
"28","AT",2023-11-20,1.556,1.663,1.235,782,NA,"Austria","Austria"
"29","AT",2023-11-13,1.581,1.699,1.258,782,NA,"Austria","Austria"
"30","AT",2023-11-06,1.6,1.735,1.304,807,NA,"Austria","Austria"
"31","AT",2023-10-30,1.601,1.733,1.314,820,NA,"Austria","Austria"
"32","AT",2023-10-23,1.617,1.745,1.33,820,NA,"Austria","Austria"
"33","AT",2023-10-16,1.63,1.75,1.325,820,NA,"Austria","Austria"
"34","AT",2023-10-09,1.663,1.773,1.309,820,NA,"Austria","Austria"
"35","AT",2023-10-02,1.692,1.792,1.356,820,NA,"Austria","Austria"
"36","AT",2023-09-25,1.712,1.794,1.344,820,NA,"Austria","Austria"
"37","AT",2023-09-18,1.718,1.796,1.339,820,NA,"Austria","Austria"
"38","AT",2023-09-11,1.699,1.745,1.305,789,NA,"Austria","Austria"
"39","AT",2023-09-04,1.696,1.714,1.267,789,NA,"Austria","Austria"
"40","AT",2023-08-28,1.691,1.707,1.264,789,NA,"Austria","Austria"
